"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单10_失败_金额校验：金额大于10万","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单15_失败_商品id长度不正确：大于于8位->9位","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例09：密码长度错误：小于最小",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单14_失败_商品id长度不正确：小于2位->1位","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_login","","","","无效登陆03:用户名输入超长","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单08_失败_金额校验：金额=0","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","6","tests","test_upload","","","","01_上传图片成功",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单12_失败_金额校验：提款订单金额大于账户余额","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","4","tests","test_create_order","","","","创建订单02_提款订单成功_币种传cny，商品id8位","创建订单成功"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例03：密码为空注册失败",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_register","","","","注册用例11：密码和确认密码不相同",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","8","tests","test_account_flow","","","","test_get_order_sucess","查看订单记录：有记录；要先创建订单，才能查询订单"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_login","","","","无效登陆04:用户名为空","登陆失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","3","tests","test_register","","","","注册用例12：重复注册",""
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单04_失败_必填没填：金额","创建订单失败"
"passed","Fri Oct 17 12:36:50 UTC 2025","Fri Oct 17 12:36:50 UTC 2025","2","tests","test_create_order","","","","创建订单17_失败_订单类型错误","创建订单失败"
